,datetime,core_temp,bark_temp
4863,2021-02-02,303.53,302.51
4862,2021-02-02,303.53,302.51
4861,2021-02-02,303.46,302.51
4860,2021-02-02,303.44,302.51
4859,2021-02-02,303.4,302.53999999999996
4858,2021-02-02,303.35999999999996,302.51
4857,2021-02-02,303.34,302.48999999999995
4856,2021-02-02,303.29999999999995,302.51
4855,2021-02-02,303.27,302.51
4854,2021-02-02,303.22999999999996,302.53999999999996
4853,2021-02-02,303.21,302.51
4852,2021-02-02,303.16999999999996,302.51
4851,2021-02-02,303.15,302.51
4850,2021-02-02,303.10999999999996,302.56
4849,2021-02-02,303.09,302.51
4848,2021-02-02,303.03,302.51
4847,2021-02-02,303.0,302.53999999999996
4846,2021-02-02,302.96,302.56
4845,2021-02-02,302.96,302.48999999999995
4844,2021-02-02,302.91999999999996,302.58
4843,2021-02-02,302.9,302.51
4842,2021-02-02,302.88,302.51
4841,2021-02-02,302.84,302.58
4840,2021-02-02,302.82,302.56
4839,2021-02-02,302.77,302.56
4838,2021-02-02,302.77,302.58
4837,2021-02-02,302.72999999999996,302.53999999999996
4836,2021-02-02,302.71,302.58
4835,2021-02-02,302.71,302.53999999999996
4834,2021-02-02,302.66999999999996,302.58
4833,2021-02-02,302.65,302.56
4832,2021-02-02,302.65,302.56
4831,2021-02-02,302.60999999999996,302.58
4830,2021-02-02,302.59,302.53999999999996
4829,2021-02-02,302.59,302.53999999999996
4828,2021-02-02,302.59,302.58
4827,2021-02-02,302.54999999999995,302.58
4826,2021-02-02,302.53,302.53999999999996
4825,2021-02-02,302.53,302.58
4824,2021-02-02,302.5,302.53999999999996
4823,2021-02-02,302.44,302.59999999999997
4822,2021-02-02,302.4,302.53999999999996
4821,2021-02-02,302.4,302.46999999999997
4820,2021-02-02,302.38,302.53999999999996
4819,2021-02-02,302.34,302.53999999999996
4818,2021-02-02,302.29999999999995,302.53999999999996
4817,2021-02-02,302.27,302.53999999999996
4816,2021-02-02,302.27,302.51
4815,2021-02-02,302.25,302.51
4814,2021-02-02,302.21,302.48999999999995
4813,2021-02-02,302.21,302.53999999999996
4812,2021-02-02,302.19,302.51
4811,2021-02-02,302.16999999999996,302.51
4810,2021-02-02,302.13,302.51
4809,2021-02-02,302.09,302.51
4808,2021-02-02,302.09,302.51
4807,2021-02-02,302.09,302.53999999999996
4806,2021-02-02,302.07,302.48999999999995
4805,2021-02-02,302.03,302.51
4804,2021-02-02,302.03,302.51
4803,2021-02-02,302.03,302.48999999999995
4802,2021-02-02,302.03,302.46999999999997
4801,2021-02-02,302.0,302.46999999999997
4800,2021-02-02,301.97999999999996,302.45
4799,2021-02-02,301.96,302.45
4798,2021-02-02,301.96,302.45
4797,2021-02-02,301.96,302.45
4796,2021-02-02,301.96,302.42999999999995
4795,2021-02-02,301.94,302.40999999999997
4794,2021-02-02,301.9,302.45
4793,2021-02-02,301.9,302.45
4792,2021-02-02,301.9,302.45
4791,2021-02-02,301.9,302.40999999999997
4790,2021-02-02,301.88,302.39
4789,2021-02-02,301.85999999999996,302.42999999999995
4788,2021-02-02,301.84,302.40999999999997
4787,2021-02-02,301.84,302.39
4786,2021-02-02,301.82,302.40999999999997
4785,2021-02-02,301.79999999999995,302.37
4784,2021-02-02,301.77,302.39
4783,2021-02-02,301.77,302.37
4782,2021-02-02,301.75,302.37
4781,2021-02-02,301.75,302.39
4780,2021-02-02,301.71,302.33
4779,2021-02-02,301.71,302.39
4778,2021-02-02,301.71,302.33
4777,2021-02-02,301.66999999999996,302.28999999999996
4776,2021-02-02,301.65,302.26
4775,2021-02-02,301.65,302.31
4774,2021-02-02,301.65,302.31
4773,2021-02-02,301.63,302.31
4772,2021-02-02,301.60999999999996,302.28999999999996
4771,2021-02-02,301.59,302.31
4770,2021-02-02,301.59,302.26
4769,2021-02-02,301.54999999999995,302.26
4768,2021-02-02,301.53,302.26
4767,2021-02-02,301.53,302.23999999999995
4766,2021-02-02,301.53,302.23999999999995
4765,2021-02-02,301.5,302.23999999999995
4764,2021-02-02,301.47999999999996,302.26
4763,2021-02-02,301.46,302.2
4762,2021-02-02,301.46,302.21999999999997
4761,2021-02-02,301.44,302.2
4760,2021-02-02,301.44,302.2
4759,2021-02-02,301.44,302.2
4758,2021-02-02,301.41999999999996,302.21999999999997
4757,2021-02-02,301.4,302.17999999999995
4756,2021-02-02,301.4,302.2
4755,2021-02-02,301.4,302.2
4754,2021-02-02,301.38,302.14
4753,2021-02-02,301.38,302.17999999999995
4752,2021-02-02,301.34,302.17999999999995
4751,2021-02-02,301.34,302.14
4750,2021-02-02,301.34,302.12
4749,2021-02-02,301.34,302.12
4748,2021-02-02,301.32,302.09999999999997
4747,2021-02-02,301.29999999999995,302.14
4746,2021-02-02,301.29999999999995,302.14
4745,2021-02-02,301.27,302.12
4744,2021-02-02,301.27,302.08
4743,2021-02-02,301.27,302.06
4742,2021-02-02,301.27,302.03999999999996
4741,2021-02-02,301.25,302.01
4740,2021-02-02,301.25,302.06
4739,2021-02-02,301.21,302.08
4738,2021-02-02,301.21,302.08
4737,2021-02-02,301.21,302.06
4736,2021-02-02,301.19,302.03999999999996
4735,2021-02-02,301.16999999999996,302.01
4734,2021-02-02,301.16999999999996,302.01
4733,2021-02-02,301.15,302.01
4732,2021-02-02,301.15,302.01
4731,2021-02-02,301.15,301.96999999999997
4730,2021-02-02,301.13,302.01
4729,2021-02-02,301.13,302.01
4728,2021-02-02,301.09,301.96999999999997
4727,2021-02-02,301.09,301.95
4726,2021-02-02,301.09,301.92999999999995
4725,2021-02-02,301.09,301.95
4724,2021-02-02,301.07,301.96999999999997
4723,2021-02-02,301.07,301.95
4722,2021-02-02,301.03,301.95
4721,2021-02-02,301.03,301.92999999999995
4720,2021-02-02,301.03,301.92999999999995
4719,2021-02-02,301.0,301.92999999999995
4718,2021-02-02,300.97999999999996,301.92999999999995
4717,2021-02-02,300.96,301.89
4716,2021-02-02,300.96,301.89
4715,2021-02-02,300.96,301.87
4714,2021-02-02,300.96,301.84999999999997
4713,2021-02-02,300.96,301.83
4712,2021-02-02,300.94,301.89
4711,2021-02-02,300.91999999999996,301.87
4710,2021-02-02,300.91999999999996,301.87
4709,2021-02-02,300.9,301.84999999999997
4708,2021-02-02,300.9,301.89
4707,2021-02-02,300.9,301.83
4706,2021-02-02,300.88,301.83
4705,2021-02-02,300.85999999999996,301.83
