"Date and Time","internal_temp"
"1/15/2021, 3:26:58 AM","28.16"
"1/15/2021, 3:23:50 AM","28.16"
"1/15/2021, 3:20:41 AM","28.18"
"1/15/2021, 3:17:33 AM","28.18"
"1/15/2021, 3:14:25 AM","28.18"
"1/15/2021, 3:11:17 AM","28.20"
"1/15/2021, 3:08:08 AM","28.20"
"1/15/2021, 3:05:00 AM","28.20"
"1/15/2021, 3:01:52 AM","28.20"
"1/15/2021, 2:58:43 AM","28.24"
"1/15/2021, 2:55:35 AM","28.20"
"1/15/2021, 2:52:26 AM","28.18"
"1/15/2021, 2:49:18 AM","28.24"
"1/15/2021, 2:46:09 AM","28.24"
"1/15/2021, 2:43:01 AM","28.20"
"1/15/2021, 2:39:52 AM","28.24"
"1/15/2021, 2:33:35 AM","28.26"
"1/15/2021, 2:30:27 AM","28.24"
"1/15/2021, 2:27:18 AM","28.30"
"1/15/2021, 2:24:09 AM","28.30"
"1/15/2021, 2:21:01 AM","28.26"
"1/15/2021, 2:17:53 AM","28.28"
"1/15/2021, 2:14:44 AM","28.28"
"1/15/2021, 2:11:36 AM","28.30"
"1/15/2021, 2:08:27 AM","28.30"
"1/15/2021, 2:05:19 AM","28.28"
"1/15/2021, 2:02:10 AM","28.30"
"1/15/2021, 1:59:02 AM","28.32"
"1/15/2021, 1:55:53 AM","28.34"
"1/15/2021, 1:52:45 AM","28.36"
"1/15/2021, 1:49:36 AM","28.34"
"1/15/2021, 1:46:28 AM","28.36"
"1/15/2021, 1:43:20 AM","28.36"
"1/15/2021, 1:40:11 AM","28.39"
"1/15/2021, 1:37:03 AM","28.39"
"1/15/2021, 1:33:54 AM","28.36"
"1/15/2021, 1:30:46 AM","28.36"
"1/15/2021, 1:27:37 AM","28.39"
"1/15/2021, 1:24:29 AM","28.39"
"1/15/2021, 1:21:20 AM","28.39"
"1/15/2021, 1:18:12 AM","28.41"
"1/15/2021, 1:15:03 AM","28.43"
"1/15/2021, 1:11:55 AM","28.43"
"1/15/2021, 1:08:46 AM","28.45"
"1/15/2021, 1:05:38 AM","28.49"
"1/15/2021, 1:02:50 AM","28.47"
"1/15/2021, 12:59:42 AM","28.49"
"1/15/2021, 12:53:24 AM","28.49"
"1/15/2021, 12:50:16 AM","28.53"
"1/15/2021, 12:47:07 AM","28.49"
"1/15/2021, 12:43:59 AM","28.49"
"1/15/2021, 12:40:50 AM","28.49"
"1/15/2021, 12:37:42 AM","28.53"
"1/15/2021, 12:31:24 AM","28.55"
"1/15/2021, 12:28:16 AM","28.55"
"1/15/2021, 12:25:07 AM","28.57"
"1/15/2021, 12:21:59 AM","28.57"
"1/15/2021, 12:18:50 AM","28.55"
"1/15/2021, 12:15:41 AM","28.55"
"1/15/2021, 12:09:24 AM","28.59"
"1/15/2021, 12:06:15 AM","28.64"
"1/14/2021, 11:59:58 PM","28.68"
"1/14/2021, 11:56:50 PM","28.68"
"1/14/2021, 11:53:41 PM","28.66"
"1/14/2021, 11:47:24 PM","28.66"
"1/14/2021, 11:44:15 PM","28.68"
"1/14/2021, 11:41:07 PM","28.72"
"1/14/2021, 11:37:58 PM","28.68"
"1/14/2021, 11:31:41 PM","28.72"
"1/14/2021, 11:28:32 PM","28.74"
"1/14/2021, 11:25:24 PM","28.74"
"1/14/2021, 11:22:15 PM","28.76"
"1/14/2021, 11:19:06 PM","28.74"
"1/14/2021, 11:15:58 PM","28.80"
"1/14/2021, 11:12:49 PM","28.80"
"1/14/2021, 11:06:32 PM","28.80"
"1/14/2021, 11:03:24 PM","28.84"
"1/14/2021, 11:00:15 PM","28.84"
"1/14/2021, 10:57:06 PM","28.84"
"1/14/2021, 10:50:49 PM","28.86"
"1/14/2021, 10:47:41 PM","28.84"
"1/14/2021, 10:44:32 PM","28.86"
"1/14/2021, 10:41:23 PM","28.86"
"1/14/2021, 10:35:06 PM","28.82"
"1/14/2021, 10:31:58 PM","28.86"
"1/14/2021, 10:28:49 PM","28.91"
"1/14/2021, 10:25:41 PM","28.86"
"1/14/2021, 10:22:32 PM","28.89"
"1/14/2021, 10:19:24 PM","28.93"
"1/14/2021, 10:16:15 PM","28.93"
"1/14/2021, 10:13:07 PM","28.86"
"1/14/2021, 10:09:58 PM","28.91"
"1/14/2021, 10:06:50 PM","28.91"
"1/14/2021, 10:03:41 PM","28.93"
"1/14/2021, 10:00:33 PM","28.97"
"1/14/2021, 9:54:15 PM","28.97"
"1/14/2021, 9:51:07 PM","28.99"
"1/14/2021, 9:47:58 PM","28.99"
"1/14/2021, 9:44:50 PM","28.99"
"1/14/2021, 9:41:41 PM","28.99"
"1/14/2021, 9:38:33 PM","28.99"
"1/14/2021, 9:32:16 PM","28.99"
"1/14/2021, 9:29:07 PM","28.99"
"1/14/2021, 9:25:59 PM","29.03"
"1/14/2021, 9:22:50 PM","29.01"
"1/14/2021, 9:19:42 PM","29.01"
"1/14/2021, 9:16:33 PM","29.05"
"1/14/2021, 9:13:25 PM","29.05"
"1/14/2021, 9:10:16 PM","29.05"
"1/14/2021, 9:07:08 PM","29.07"
"1/14/2021, 9:03:59 PM","29.05"
"1/14/2021, 9:00:51 PM","29.05"
"1/14/2021, 8:57:42 PM","29.07"
"1/14/2021, 8:54:34 PM","29.11"
"1/14/2021, 8:51:25 PM","29.11"
"1/14/2021, 8:48:17 PM","29.11"
"1/14/2021, 8:45:08 PM","29.11"
"1/14/2021, 8:42:00 PM","29.14"
"1/14/2021, 8:38:51 PM","29.16"
"1/14/2021, 8:35:43 PM","29.14"
"1/14/2021, 8:32:34 PM","29.20"
"1/14/2021, 8:29:26 PM","29.18"
"1/14/2021, 8:26:18 PM","29.18"
"1/14/2021, 8:23:09 PM","29.18"
"1/14/2021, 8:20:01 PM","29.18"
"1/14/2021, 8:16:52 PM","29.24"
